time,Time,Referencevalues 
2022-11-02T20:48:42+05:30,20:48:42,842
2022-11-02T20:49:33+05:30,20:49:33,836
2022-11-02T20:50:24+05:30,20:50:24,822
2022-11-02T20:51:15+05:30,20:51:15,828
2022-11-02T20:52:07+05:30,20:52:07,838
2022-11-02T20:52:57+05:30,20:52:57,836
2022-11-02T20:53:49+05:30,20:53:49,830
2022-11-02T20:54:40+05:30,20:54:40,826
2022-11-02T20:55:31+05:30,20:55:31,838
2022-11-02T20:56:22+05:30,20:56:22,846
2022-11-02T20:57:12+05:30,20:57:12,844
2022-11-02T20:58:03+05:30,20:58:03,834
2022-11-02T20:58:55+05:30,20:58:55,814
2022-11-02T20:59:46+05:30,20:59:46,812
2022-11-02T21:00:37+05:30,21:00:37,826
2022-11-02T21:01:27+05:30,21:01:27,848
2022-11-02T21:02:20+05:30,21:02:20,842
2022-11-02T21:03:11+05:30,21:03:11,842
2022-11-02T21:04:02+05:30,21:04:02,848
2022-11-02T21:04:52+05:30,21:04:52,852
2022-11-02T21:05:43+05:30,21:05:43,866
2022-11-02T21:06:34+05:30,21:06:34,866
2022-11-02T21:07:25+05:30,21:07:25,856
2022-11-02T21:08:16+05:30,21:08:16,854
2022-11-02T21:09:06+05:30,21:09:06,884
2022-11-02T21:09:58+05:30,21:09:58,882
2022-11-02T21:10:49+05:30,21:10:49,852
2022-11-02T21:11:40+05:30,21:11:40,856
2022-11-02T21:12:30+05:30,21:12:30,880
2022-11-02T21:13:21+05:30,21:13:21,890
2022-11-02T21:14:12+05:30,21:14:12,880
2022-11-02T21:15:03+05:30,21:15:03,892
2022-11-02T21:15:54+05:30,21:15:54,900
2022-11-02T21:16:44+05:30,21:16:44,894
2022-11-02T21:17:35+05:30,21:17:35,876
2022-11-02T21:18:26+05:30,21:18:26,872
2022-11-02T21:19:18+05:30,21:19:18,906
2022-11-02T21:20:09+05:30,21:20:09,926
2022-11-02T21:20:59+05:30,21:20:59,926
2022-11-02T21:21:50+05:30,21:21:50,916
2022-11-02T21:22:41+05:30,21:22:41,894
2022-11-02T21:23:32+05:30,21:23:32,876
2022-11-02T21:24:24+05:30,21:24:24,868
2022-11-02T21:25:14+05:30,21:25:14,878
2022-11-02T21:26:05+05:30,21:26:05,872
2022-11-02T21:26:56+05:30,21:26:56,872
